,adj_close,high,low,volume,Real Lower Band,Real Middle Band,Real Upper Band,EMA,SlowK,SlowD,RSI,Chaikin A/D,OBV,Aroon Up,Aroon Down
2008-09-17,47.9243,55.66,54.01,4002776.0,52.1772,54.878,57.5788,54.7725,83.6505,78.1887,48.6288,168576894.6847,-11963439.0,7.1429,71.4286
2008-09-18,49.2479,56.45,54.12,4605985.0,52.1645,54.9,57.6355,54.9066,85.2322,83.8232,55.5114,172115398.1825,-7357454.0,0.0,64.2857
2008-09-19,50.9573,59.19,56.85,4580800.0,51.96,55.006,58.052,55.2136,80.3438,83.0755,62.4989,172546071.6868,-2776654.0,100.0,57.1429
2008-09-22,50.2999,57.95,56.9,2028043.0,51.8845,55.069,58.2535,55.4199,79.7289,81.7683,58.6814,172372239.4296,-4804697.0,92.8571,50.0
2008-09-23,50.0632,57.82,56.61,2495296.0,51.8417,55.139,58.4363,55.5809,69.1944,76.4223,57.3239,171939171.5288,-7299993.0,85.7143,42.8571
2008-09-24,50.1158,58.38,56.73,1803464.0,51.8034,55.209,58.6146,55.7322,61.6871,70.2035,57.5589,171097554.9955,-5496529.0,78.5714,35.7143
2008-09-25,50.4752,58.37,57.35,1230360.0,51.7448,55.2965,58.8482,55.9082,52.5334,61.1383,59.2114,170422063.2308,-4266169.0,71.4286,28.5714
2008-09-26,50.3875,57.5,56.83,1600710.0,51.7021,55.3485,58.9949,56.0579,48.9691,54.3965,58.612,171927208.4547,-5866879.0,64.2857,21.4286
2008-09-29,47.5999,56.54,53.43,3342596.0,51.602,55.2595,58.917,55.8905,34.7751,45.4259,43.5222,170454746.5511,-9209475.0,57.1429,14.2857
2008-09-30,46.8373,53.5764,52.37,4514365.0,51.4216,55.1645,58.9074,55.6561,28.1219,37.2887,40.4537,173873450.0193,-13723840.0,50.0,7.1429
2008-10-01,45.4522,52.85,51.13,4444374.0,50.9701,54.9605,58.9509,55.2936,15.0526,25.9832,35.5514,173149947.2751,-18168214.0,42.8571,0.0
2008-10-02,42.8224,50.15,48.5,5223703.0,49.8597,54.658,59.4563,54.68,10.4903,17.8883,28.4914,170142360.6993,-23391917.0,35.7143,100.0
2008-10-03,40.0172,48.26,45.65,4936224.0,48.0273,54.2305,60.4337,53.82,4.6112,10.0514,23.1993,165206136.6993,-28328141.0,28.5714,100.0
2008-10-06,34.7839,44.25,37.6,9701532.0,44.6446,53.5205,62.3964,52.4733,5.636,6.9125,16.8944,161573532.9881,-38029673.0,21.4286,100.0
2008-10-07,32.0576,39.31,36.3,7616749.0,41.1809,52.734,64.2871,50.9587,4.8835,5.0436,14.6594,155323243.9416,-45646422.0,14.2857,100.0
2008-10-08,31.8297,39.07,36.09,6799352.0,38.3443,51.94,65.5357,49.5636,5.4051,5.3082,14.4869,149527823.1093,-52445774.0,7.1429,100.0
2008-10-09,30.471,37.05,34.65,3351037.0,35.5293,51.035,66.5407,48.1537,1.3348,3.8745,13.469,146483964.501,-55796811.0,0.0,100.0
2008-10-10,29.6908,35.5,31.78,5710857.0,32.9024,50.069,67.2356,46.7934,6.3777,4.3725,12.9082,147190145.7429,-61507668.0,14.2857,100.0
2008-10-13,34.1001,38.9,36.11,3758786.0,31.5863,49.313,67.0397,46.0416,37.3745,15.029,30.5166,150948931.7429,-57748882.0,7.1429,92.8571
2008-10-14,33.7933,39.72,37.74,4690266.0,30.4153,48.421,66.4267,45.3281,65.5266,36.4263,30.0611,150096156.1066,-62439148.0,0.0,85.7143
2008-10-15,29.5681,36.23,33.49,2989577.0,28.5279,47.374,66.2201,44.2235,68.1263,57.0091,24.6132,147630300.6248,-65428725.0,0.0,78.5714
2008-10-16,31.5317,35.97,33.62,4206944.0,27.348,46.3635,65.379,43.4375,54.1982,62.617,30.8823,151837244.6248,-61221781.0,0.0,71.4286
2008-10-17,31.4177,37.25,35.52,2098788.0,26.5118,45.249,63.9862,42.7139,38.3502,53.5582,30.7226,150514886.8676,-63320569.0,0.0,64.2857
2008-10-20,32.9868,37.63,36.49,1671522.0,26.1133,44.2615,62.4097,42.2297,52.3147,48.2877,35.6559,152186408.8676,-61649047.0,0.0,57.1429
2008-10-21,31.0671,36.5,34.94,1568248.0,25.6506,43.178,60.7054,41.5831,50.4249,47.03,32.5974,151623448.0471,-63217295.0,0.0,50.0
2008-10-22,30.0414,35.14,33.43,2304404.0,25.3393,42.033,58.7267,40.8866,44.518,49.0859,31.0643,151583019.9067,-65521699.0,0.0,42.8571
2008-10-23,30.7076,35.27,33.59,2611164.0,25.5738,40.9055,56.2372,40.3288,35.0656,43.3362,33.26,153448137.0496,-62910535.0,0.0,35.7143
2008-10-24,28.5512,33.39,30.42,2136244.0,25.9556,39.66,53.3644,39.5899,29.305,36.2962,29.9362,154404771.5681,-65046779.0,0.0,100.0
2008-10-27,26.4912,31.19,29.65,2834893.0,25.9273,38.456,50.9847,38.6975,25.412,29.9275,27.1455,153668435.724,-67881672.0,35.7143,100.0
2008-10-28,28.0866,32.16,29.31,3875616.0,26.6263,37.3865,48.1467,38.0635,27.9821,27.5664,32.4015,157217684.0608,-64006056.0,28.5714,100.0
2008-10-29,29.7171,34.95,33.35,2667332.0,27.9361,36.489,45.0419,37.667,43.7133,32.3691,37.374,156384142.8108,-61338724.0,21.4286,92.8571
2008-10-30,30.7427,35.18,34.07,2338352.0,29.3893,35.8,42.2107,37.4196,73.6483,48.4479,40.3466,158259037.6576,-59000372.0,14.2857,85.7143
2008-10-31,30.9706,35.83,34.24,2006336.0,30.7374,35.284,39.8306,37.2206,89.1569,68.8395,41.0166,159003527.1168,-56994036.0,7.1429,78.5714
2008-11-03,31.3213,36.4,35.32,3610185.0,31.0011,35.0865,39.1719,37.0787,93.6691,85.4915,42.0942,158134408.5057,-53383851.0,0.0,71.4286
2008-11-04,33.6443,38.54,37.32,2864356.0,30.889,35.177,39.465,37.2026,93.2662,92.0307,48.7714,160247458.0139,-50519495.0,100.0,64.2857
2008-11-05,32.0576,38.87,36.51,3141396.0,30.8868,35.19,39.4932,37.1423,79.8502,88.9285,44.9581,157265794.0139,-53660891.0,100.0,57.1429
2008-11-06,29.945,36.39,33.84,3127904.0,30.8369,35.16,39.4831,36.8583,51.7874,74.9679,40.4258,154922932.5864,-56788795.0,92.8571,50.0
2008-11-07,31.3914,36.26,34.86,3875834.0,30.9671,35.257,39.5469,36.7585,32.5367,54.7248,44.5476,156307159.015,-52912961.0,85.7143,42.8571
2008-11-10,31.5667,37.12,35.44,1450511.0,31.1402,35.1125,39.0848,36.6872,29.556,37.9601,45.0439,155840923.3364,-51462450.0,78.5714,35.7143
2008-11-11,30.1116,35.24,33.82,2101735.0,31.2479,34.9025,38.5571,36.4646,30.9337,31.0088,41.7072,155308089.1111,-53564185.0,71.4286,28.5714
2008-11-12,29.7171,34.78,33.65,4419117.0,31.2666,34.911,38.5554,36.2204,20.2803,26.9233,40.8243,152844333.6155,-57983302.0,64.2857,21.4286
2008-11-13,31.8209,36.49,32.89,4306450.0,31.2612,34.9275,38.5938,36.2279,32.7714,27.9951,47.239,156696213.8933,-53676852.0,57.1429,14.2857
2008-11-14,30.8917,36.59,35.1,4642169.0,31.2518,34.8975,38.5432,36.1338,47.7916,33.6144,44.9228,152926398.7993,-58319021.0,50.0,7.1429
2008-11-17,29.5593,34.71,33.47,2994123.0,31.2491,34.702,38.1549,35.904,52.8675,44.4769,41.7607,151139583.4606,-61313144.0,42.8571,0.0
2008-11-18,29.1297,33.82,32.28,2904020.0,31.0989,34.5915,38.0841,35.6493,33.3433,44.6675,40.7646,151818445.2788,-64217164.0,35.7143,100.0
2008-11-19,27.6044,33.68,31.44,2528027.0,30.7076,34.4525,38.1974,35.2532,15.1484,33.7864,37.3569,149403276.627,-66745191.0,28.5714,100.0
2008-11-20,26.0353,31.78,29.49,3520852.0,29.921,34.186,38.451,34.7243,8.6568,19.0495,34.1904,146528170.4086,-70266043.0,21.4286,100.0
2008-11-21,27.3064,31.48,29.37,4259145.0,29.7001,34.115,38.5299,34.3839,12.4207,12.0753,38.7216,149455071.0011,-66006898.0,14.2857,100.0
2008-11-24,30.1729,34.75,32.75,3111558.0,30.2877,34.325,38.3623,34.3873,43.3858,21.4877,47.5005,151539814.8611,-62895340.0,7.1429,92.8571
2008-11-25,31.146,36.85,34.77,5210977.0,30.5722,34.4995,38.4268,34.4962,69.8508,41.8857,50.1131,150136859.5149,-57684363.0,0.0,85.7143
2008-11-26,31.2424,35.92,34.27,2596744.0,30.6391,34.5865,38.5339,34.6051,86.6809,66.6391,50.3767,151852284.3391,-55087619.0,14.2857,78.5714
2008-11-28,29.9275,34.25,33.47,1244702.0,30.5946,34.54,38.4854,34.5608,76.6488,77.7268,46.7497,152745916.5443,-56332321.0,7.1429,71.4286
2008-12-01,28.2356,33.34,32.07,2024507.0,30.3306,34.384,38.4374,34.3369,50.1742,71.168,42.509,151167757.5443,-58356828.0,0.0,64.2857
2008-12-02,28.972,33.32,32.14,1564544.0,30.2063,34.25,38.2937,34.2143,29.067,51.9633,44.8537,152016323.7816,-56792284.0,71.4286,57.1429
2008-12-03,30.0064,34.46,31.98,2622771.0,30.4693,34.0425,37.6157,34.2158,26.8459,35.3623,48.0584,154152613.0638,-54169513.0,64.2857,50.0
2008-12-04,28.8931,33.91,32.42,2105010.0,30.4569,33.862,37.2671,34.0962,39.0416,31.6515,45.0256,153573382.1242,-56274523.0,57.1429,42.8571
2008-12-05,29.7258,34.24,31.63,2429304.0,30.4471,33.8495,37.2519,34.0785,59.0627,41.6501,47.6851,155388379.3656,-53845219.0,50.0,35.7143
2008-12-08,30.8304,36.06,34.72,3152933.0,30.478,33.8175,37.157,34.1825,66.6637,54.9227,51.0664,154353087.9328,-50692286.0,42.8571,28.5714
2008-12-09,31.0408,36.29,34.29,4356824.0,30.5172,33.7875,37.0578,34.2994,80.5303,68.7523,51.7067,154875906.8128,-46335462.0,35.7143,21.4286
2008-12-10,30.4973,35.59,34.08,5393729.0,30.5185,33.8095,37.1005,34.3461,76.2789,74.491,49.8906,154554426.2763,-51729191.0,28.5714,14.2857
2008-12-11,29.2612,34.29,33.21,2188455.0,30.4876,33.7835,37.0794,34.2541,62.1602,72.9898,45.9388,153054929.3319,-53917646.0,21.4286,7.1429
2008-12-12,29.6469,33.97,32.7,2761969.0,30.5716,33.6595,36.7474,34.2127,45.5209,61.32,47.3406,155164464.7099,-51155677.0,14.2857,0.0
2008-12-15,29.6119,34.48,33.28,2407760.0,30.5836,33.5865,36.5894,34.1715,32.945,46.8754,47.2207,154763171.3765,-53563437.0,7.1429,57.1429
2008-12-16,31.7946,36.46,34.66,3814839.0,30.4908,33.714,36.9372,34.3714,52.076,43.514,54.8796,157772655.4765,-49748598.0,0.0,50.0
2008-12-17,30.6463,35.49,34.55,3251797.0,30.5413,33.8005,37.0597,34.4274,61.7123,48.9111,50.7104,157357532.4552,-53000395.0,92.8571,42.8571
2008-12-18,30.2781,35.8,34.33,3869882.0,30.8593,33.953,37.0467,34.4382,67.9965,60.5949,49.4142,154593331.0267,-56870277.0,85.7143,35.7143
2008-12-19,30.243,35.14,34.26,2478237.0,31.7882,34.193,36.5978,34.444,49.1358,59.6148,49.285,153466859.663,-59348514.0,78.5714,28.5714
2008-12-22,29.8223,34.73,33.51,1789221.0,32.3731,34.3365,36.2999,34.4037,34.863,50.6651,47.6741,153173544.745,-61137735.0,71.4286,21.4286
2008-12-23,29.4015,34.3,33.3,946029.0,32.2994,34.2925,36.2856,34.3214,21.751,35.2499,46.053,152681609.665,-62083764.0,64.2857,14.2857
2008-12-24,29.5067,34.03,33.4436,487031.0,32.2725,34.199,36.1255,34.2584,13.7627,23.4589,46.5424,152554038.107,-61596733.0,57.1429,7.1429
2008-12-26,29.6557,34.05,33.55,778077.0,32.2945,34.1085,35.9225,34.2176,17.6014,17.705,47.2722,152647407.347,-60818656.0,50.0,0.0
2008-12-29,29.9888,34.66,33.98,1570028.0,32.2975,34.112,35.9265,34.2169,35.6136,22.3259,48.9497,152139457.1117,-59248628.0,42.8571,28.5714
2008-12-30,31.3651,35.8,34.75,1452628.0,32.5591,34.2905,36.0219,34.3658,63.8802,39.0318,55.2803,153536746.9022,-57796000.0,35.7143,21.4286
2008-12-31,31.7508,36.55,35.17,2110668.0,32.6231,34.449,36.2749,34.5424,84.071,61.1883,56.8936,154637964.9892,-55685332.0,100.0,14.2857
2009-01-02,32.1015,36.72,35.61,2386052.0,32.5167,34.5685,36.6203,34.7402,95.1407,81.0307,58.3642,156594097.7099,-53299280.0,100.0,7.1429
2009-01-05,31.2862,36.04,35.35,2030276.0,32.7379,34.705,36.6721,34.8307,82.877,87.3629,53.7712,156564673.42,-55329556.0,92.8571,0.0
2009-01-06,31.7508,36.59,35.29,3153266.0,32.7836,34.8205,36.8574,34.963,77.9578,85.3252,55.9011,157923003.3893,-52176290.0,85.7143,0.0
2009-01-07,32.0226,36.84,36.17,3694477.0,32.7228,34.8885,37.0542,35.1122,72.8217,77.8855,57.1448,158198710.6281,-48481813.0,100.0,35.7143
2009-01-08,32.9781,37.66,36.2,3120319.0,32.5334,34.999,37.4646,35.3511,84.7896,78.523,61.2798,161148053.2445,-45361494.0,100.0,28.5714
2009-01-09,32.3294,37.35,36.62,2892248.0,32.5084,35.1035,37.6986,35.4967,82.2793,79.9635,57.2417,160316036.6966,-48253742.0,92.8571,21.4286
2009-01-12,30.9619,36.77,35.1,4206881.0,32.7282,35.2005,37.6728,35.4799,57.9982,75.0224,49.7926,157217555.481,-52460623.0,85.7143,14.2857
2009-01-13,31.8122,36.65,35.6,3186361.0,32.8935,35.324,37.7545,35.557,40.7222,60.3333,53.817,158218983.2238,-49274262.0,78.5714,7.1429
2009-01-14,30.059,35.23,33.71,3801624.0,32.9742,35.3495,37.7248,35.4363,23.2539,40.6581,45.6858,157318598.5923,-53075886.0,71.4286,0.0
2009-01-15,30.3307,35.0,33.5,3023411.0,32.9087,35.266,37.6233,35.3567,29.9131,31.2964,47.0219,158729523.7256,-50052475.0,64.2857,0.0
2009-01-16,31.1985,36.23,35.12,5314417.0,32.9405,35.2975,37.6545,35.3789,35.7231,29.63,51.1545,157915604.0049,-44738058.0,57.1429,92.8571
2009-01-20,29.1911,34.16,33.18,3947371.0,32.7409,35.2355,37.7301,35.1809,31.9813,32.5392,42.8316,154934936.1069,-48685429.0,50.0,100.0
2009-01-21,30.7076,35.15,33.94,3647861.0,32.788,35.262,37.736,35.1665,42.6761,36.7935,49.5143,157859254.4292,-45037568.0,42.8571,92.8571
2009-01-22,30.7778,35.53,34.47,4158511.0,32.9072,35.3165,37.7258,35.1612,42.4642,39.0406,49.8065,158722341.6179,-40879057.0,35.7143,85.7143
2009-01-23,29.6031,34.27,32.82,3687937.0,32.9507,35.328,37.7053,35.0287,50.5979,45.2461,45.0982,159866873.7903,-44566994.0,28.5714,100.0
2009-01-26,29.8573,34.68,33.38,1948367.0,33.021,35.348,37.675,34.9364,45.6315,46.2312,46.2817,159956798.4211,-42618627.0,21.4286,92.8571
2009-01-27,30.4534,34.88,34.1,2361452.0,33.153,35.3935,37.634,34.9177,48.1548,48.1281,49.055,161470549.7031,-40257175.0,14.2857,85.7143
2009-01-28,31.7946,37.04,35.95,4757281.0,33.2941,35.4965,37.6989,35.0465,66.1196,53.3019,54.7193,159506534.6114,-35499894.0,7.1429,78.5714
2009-01-29,31.5141,36.5,35.79,4379258.0,33.2969,35.505,37.7131,35.1325,75.591,63.2884,53.3824,157101026.6959,-39879152.0,0.0,71.4286
2009-01-30,31.0145,36.44,35.01,2238362.0,33.2791,35.463,37.6469,35.1561,70.1897,70.6334,50.9926,156020977.8987,-42117514.0,0.0,64.2857
2009-02-02,31.2073,35.75,35.03,1883064.0,33.2919,35.412,37.5321,35.1984,59.9453,68.5753,51.8879,157119431.8987,-40234450.0,78.5714,57.1429
2009-02-03,32.0313,36.76,35.6,1828990.0,33.2804,35.4545,37.6286,35.3262,60.3449,63.4933,55.6185,158254667.0711,-38405460.0,71.4286,50.0
2009-02-04,31.6982,37.24,35.8,2525308.0,33.2815,35.4515,37.6215,35.4056,59.3198,59.87,53.8023,156992013.0711,-40930768.0,100.0,42.8571
2009-02-05,32.9167,37.81,36.37,3591474.0,33.1902,35.5025,37.8148,35.6098,72.5511,64.0719,59.0677,159286565.9045,-37339294.0,100.0,35.7143
2009-02-06,33.5216,38.48,37.45,1926439.0,33.0953,35.5335,37.9717,35.8603,78.4424,70.1044,61.4185,160315246.9239,-35412855.0,100.0,28.5714
2009-02-09,33.8459,39.04,38.44,1911831.0,32.8914,35.62,38.3486,36.1222,90.4193,80.4709,62.657,159486786.8239,-33501024.0,100.0,21.4286
2009-02-10,32.3469,38.25,36.68,2385057.0,32.9187,35.699,38.4793,36.1963,71.498,80.1199,54.0254,157770153.4417,-35886081.0,92.8571,14.2857
2009-02-11,32.5661,37.6,36.61,1569209.0,32.9005,35.742,38.5835,36.2871,50.2214,70.7129,55.0014,157912808.8053,-34316872.0,85.7143,7.1429
2009-02-12,32.3557,36.91,35.8,2583541.0,33.0701,35.873,38.6759,36.3464,32.4745,51.398,53.8202,160496349.8053,-36900413.0,78.5714,0.0
2009-02-13,32.5398,37.28,36.56,2483314.0,33.2098,35.999,38.7882,36.4201,34.7378,39.1445,54.7362,161875968.6942,-34417099.0,71.4286,0.0
2009-02-17,31.1547,36.06,35.31,2265857.0,33.2057,35.9965,38.7873,36.3363,27.6077,31.6067,47.1571,160999837.3209,-36682956.0,64.2857,0.0
2009-02-18,30.7778,35.49,34.7,2496989.0,33.5456,36.087,38.6284,36.2195,20.9006,27.7487,45.318,161094659.688,-39179945.0,57.1429,100.0
2009-02-19,29.8486,35.1,33.94,2824361.0,33.3818,36.038,38.6942,36.0129,8.4182,18.9755,41.0662,158805953.3604,-42004306.0,50.0,100.0
2009-02-20,29.4015,33.81,32.48,2906093.0,33.1123,35.9595,38.8067,35.7774,13.1716,14.1634,39.1624,160532128.9018,-44910399.0,42.8571,100.0
2009-02-23,28.8405,34.04,32.73,1905827.0,32.9139,35.916,38.9181,35.5033,12.3695,11.3197,36.8535,159120944.0239,-46816226.0,35.7143,92.8571
2009-02-24,30.0327,34.46,33.06,1933996.0,32.9475,35.926,38.9045,35.3849,30.9838,18.8416,44.3605,160502369.7382,-44882230.0,28.5714,85.7143
2009-02-25,29.1385,33.88,32.76,1958772.0,32.687,35.851,39.015,35.1806,33.2919,25.5484,40.4742,160222545.1667,-46841002.0,21.4286,78.5714
2009-02-26,28.4022,33.42,32.34,2110590.0,32.1636,35.6575,39.1514,34.9158,30.3247,31.5335,37.5562,158346465.1667,-48951592.0,14.2857,100.0
2009-02-27,28.1742,32.81,31.67,2365183.0,31.6565,35.467,39.2775,34.6514,16.2279,26.6148,36.6748,157931520.7808,-51316775.0,7.1429,100.0
2009-03-02,27.7798,32.37,31.64,1928410.0,31.1309,35.2825,39.4341,34.3694,7.1497,17.9008,35.1378,156267276.5342,-53245185.0,0.0,100.0
2009-03-03,28.2619,32.84,31.97,1699920.0,30.7609,35.1145,39.4681,34.1666,15.1349,12.8375,38.5287,155622479.2928,-51545265.0,0.0,92.8571
2009-03-04,29.0246,33.43,32.11,2112561.0,30.5574,34.943,39.3286,34.066,36.8939,19.7262,43.5554,156710768.2928,-49432704.0,0.0,85.7143
2009-03-05,28.1655,33.04,31.89,1706599.0,30.2296,34.7415,39.2534,33.8816,45.4276,32.4855,39.6247,155716488.8754,-51139303.0,7.1429,78.5714
2009-03-06,27.885,32.51,31.22,3269277.0,29.9635,34.4545,38.9455,33.6843,45.398,42.5732,38.4059,155437713.3173,-54408580.0,0.0,100.0
2009-03-09,27.8587,32.59,31.13,2628211.0,29.8518,34.1315,38.4112,33.5029,27.444,39.4232,38.287,155149690.194,-57036791.0,0.0,100.0
2009-03-10,29.6119,34.3,33.11,2930895.0,30.1355,33.89,37.6445,33.5293,46.1846,39.6756,49.5093,155519130.7402,-54105896.0,0.0,92.8571
2009-03-11,29.5856,34.34,33.46,3813264.0,30.2412,33.7325,37.2238,33.5503,64.4923,46.0403,49.3643,154219154.3766,-57919160.0,0.0,85.7143
2009-03-12,29.5418,33.82,32.96,4563958.0,30.44,33.56,36.68,33.5646,81.7595,64.1455,49.1061,157509449.6789,-62483118.0,14.2857,78.5714
2009-03-13,29.384,33.73,33.02,1427570.0,30.6748,33.3905,36.1062,33.5603,78.7124,74.9881,48.1303,158092541.6507,-63910688.0,7.1429,71.4286
2009-03-16,29.4979,34.62,33.57,2848143.0,31.0989,33.217,35.3351,33.5689,65.3611,75.2777,48.9198,155678401.3936,-61062545.0,100.0,64.2857
2009-03-17,30.4008,34.72,33.63,2542089.0,31.2175,33.174,35.1305,33.6747,71.2495,71.7743,54.7911,158033915.0542,-58520456.0,100.0,57.1429
2009-03-18,31.7859,36.74,34.54,2892560.0,31.0022,33.2315,35.4608,33.9209,75.5317,70.7141,62.0055,159664267.0542,-55627896.0,100.0,50.0
2009-03-19,33.0657,38.04,37.49,4775590.0,30.4603,33.415,36.3697,34.2827,92.8848,79.8886,67.2123,158882806.8723,-50852306.0,100.0,42.8571
2009-03-20,31.6369,37.52,35.85,3644989.0,30.3655,33.5425,36.7195,34.4549,79.101,82.5058,57.7045,156285479.3813,-54497295.0,92.8571,35.7143
2009-03-23,32.8992,37.53,36.05,2975746.0,30.1717,33.774,37.3763,34.7477,79.4789,83.8216,62.7216,159261225.3813,-51521549.0,85.7143,28.5714
2009-03-24,32.1891,37.56,36.54,1780535.0,30.0754,33.897,37.7186,34.9356,69.0323,75.8707,58.5168,158109114.499,-53302084.0,78.5714,21.4286
2009-03-25,32.4609,37.89,36.35,2214697.0,30.0445,34.0865,38.1285,35.135,68.2008,72.2373,59.6322,157850253.8107,-51087387.0,71.4286,14.2857
2009-03-26,33.1096,38.12,36.59,1724761.0,30.0896,34.355,38.6204,35.386,66.9162,68.0498,62.242,158785908.4708,-49362626.0,100.0,7.1429
2009-03-27,30.9619,35.91,35.23,3533376.0,30.3549,34.514,38.6731,35.3797,47.1923,60.7698,50.5821,156187837.8825,-52896002.0,92.8571,0.0
