,adj_close,high,low,volume,Real Lower Band,Real Middle Band,Real Upper Band,EMA,SlowD,SlowK,RSI,Chaikin A/D,OBV,Aroon Up,Aroon Down
2008-08-26,237.8141,483.46,470.59,6609700.0,462.7467,487.742,512.7373,491.2151,24.2537,23.3428,39.8105,177134515.9135,1140337700.0,50.0,100.0
2008-08-27,235.0155,474.83,464.84,8765400.0,460.7468,487.036,513.3252,489.0594,21.6098,14.9403,37.7113,174932198.1957,1131572300.0,42.8571,100.0
2008-08-28,237.6235,476.45,470.33,6053300.0,460.7513,487.0375,513.3237,487.6042,18.6439,17.6485,40.8419,175703697.2153,1137625600.0,35.7143,92.8571
2008-08-29,232.3623,471.01,462.33,7688700.0,459.7907,486.809,513.8273,485.2886,15.5515,14.0656,36.8214,169715723.4826,1129936900.0,28.5714,100.0
2008-09-02,233.3453,482.18,461.42,12210700.0,460.2846,486.9215,513.5584,483.3801,15.8986,15.9817,38.0485,162010512.9817,1142147600.0,21.4286,100.0
2008-09-03,232.924,474.2899,459.58,8620500.0,457.8919,486.1495,514.4071,481.5735,14.6289,13.8394,37.7105,159051100.4126,1133527100.0,14.2857,100.0
2008-09-04,225.8271,463.24,449.4,9687300.0,452.0488,484.3455,516.6422,478.5912,14.5373,13.7909,32.4759,150567713.4184,1123839800.0,7.1429,100.0
2008-09-05,222.8128,452.456,440.08,9059500.0,445.9007,482.602,519.3033,475.3206,12.9768,11.3001,30.537,147613274.0195,1114780300.0,0.0,100.0
2008-09-08,210.6252,452.94,417.5501,18017700.0,433.6283,478.849,524.0697,470.0472,10.1683,5.4139,24.2365,132039247.397,1096762600.0,0.0,100.0
2008-09-09,209.9782,432.38,415.0,14444700.0,423.6989,474.74,525.7811,465.1532,7.7704,6.5971,23.954,123678276.0506,1082317900.0,0.0,100.0
2008-09-10,207.7212,424.48,409.68,12441100.0,414.5896,470.3175,526.0454,460.2967,6.0316,6.0836,22.9489,118769085.2398,1069876800.0,21.4286,100.0
2008-09-11,217.5465,435.09,406.38,12929800.0,410.856,467.0035,523.151,457.7685,12.3738,24.4406,35.6141,130491923.7629,1082806600.0,14.2857,100.0
2008-09-12,219.5076,441.99,429.0,12043900.0,408.9997,463.612,518.2243,455.8534,25.1004,44.777,37.8113,134506557.0963,1094850500.0,7.1429,92.8571
2008-09-15,217.6017,441.97,423.71,13121600.0,408.1431,459.7975,511.4519,453.7588,45.6432,67.7119,36.5074,135972497.0744,1081728900.0,0.0,85.7143
2008-09-16,222.1508,449.28,425.49,13967400.0,408.0603,457.029,505.9977,452.7275,63.0018,76.5165,41.6773,142483571.7276,1095696300.0,0.0,78.5714
2008-09-17,207.8867,439.14,413.44,18235500.0,403.4489,453.2285,503.0081,449.0858,68.2175,60.424,32.6892,125738132.0389,1077460800.0,21.4286,71.4286
2008-09-18,220.2198,439.18,410.5,17161600.0,403.0256,450.9325,498.8394,448.1329,65.4024,59.2668,43.9454,142780055.6093,1094622400.0,14.2857,64.2857
2008-09-19,225.2704,462.07,443.28,19991900.0,404.0269,449.0635,494.1001,448.2297,58.5135,55.8496,47.7955,135279103.241,1114614300.0,7.1429,57.1429
2008-09-22,215.736,454.13,429.0,8805700.0,404.5864,446.041,487.4956,446.5069,59.1198,62.2429,41.9393,127272328.6688,1105808600.0,0.0,50.0
2008-09-23,215.2996,440.79,425.7201,10397900.0,404.9806,443.354,481.7274,444.8653,55.9673,49.8093,41.6875,121773134.7266,1095410700.0,0.0,42.8571
2008-09-24,218.2287,445.0,430.11,8475500.0,405.6096,441.4015,477.1934,443.9362,50.9288,40.7343,44.1126,118989709.9448,1103886200.0,0.0,35.7143
2008-09-25,220.4806,450.0,435.98,10030500.0,406.4029,439.9525,473.5021,443.5232,43.7704,40.7676,45.973,114139011.6567,1113916700.0,71.4286,28.5714
2008-09-26,216.1873,437.16,421.0301,10574400.0,407.91,437.8155,467.721,442.3344,40.0725,38.7157,43.032,116689142.6903,1103342300.0,64.2857,21.4286
2008-09-29,191.0899,423.51,380.71,21504200.0,397.0618,433.701,470.3402,436.493,34.1438,22.9481,30.6774,95476354.7464,1081838100.0,57.1429,100.0
2008-09-30,200.8801,425.08,392.32,6166400.0,394.1099,430.4645,466.8191,433.067,27.1379,19.75,38.1385,92396919.3374,1088004500.0,50.0,92.8571
2008-10-01,206.4974,416.98,403.1,12457100.0,394.1594,427.83,461.5006,431.0339,22.4285,24.5875,41.9961,95412470.9224,1100461600.0,42.8571,85.7143
2008-10-02,195.8496,409.98,386.0,11957800.0,389.1173,424.8415,460.5657,427.1726,24.8535,30.223,37.2539,87932612.7072,1088503800.0,35.7143,78.5714
2008-10-03,194.054,412.4999,383.07,15969800.0,383.8201,421.9745,460.1289,423.3381,26.7204,25.3508,36.5053,76130277.2246,1072534000.0,28.5714,71.4286
2008-10-06,186.1797,375.99,357.16,22418700.0,375.4173,419.5375,463.6577,418.3735,24.3007,17.3282,33.3412,87166992.5193,1050115300.0,21.4286,100.0
2008-10-07,173.5407,374.98,345.37,22086600.0,361.3622,415.905,470.4478,411.4817,18.1767,11.8511,28.9967,66035166.1769,1028028700.0,14.2857,100.0
2008-10-08,169.5785,358.99,326.11,23629100.0,347.8617,412.1025,476.3433,404.494,13.6676,11.8234,27.7749,59653584.4251,1004399600.0,7.1429,100.0
2008-10-09,164.9993,348.5661,321.67,16133800.0,334.0268,406.864,479.7012,397.3022,10.4284,7.6108,26.3908,52289686.2324,988265800.0,0.0,100.0
2008-10-10,166.514,341.89,310.3,21174400.0,323.3195,401.581,479.8425,391.0829,12.5861,18.3242,27.6747,60205788.29,1009440200.0,0.0,100.0
2008-10-13,191.0999,381.95,345.75,17793100.0,321.6531,398.939,476.2249,390.1245,24.1765,46.5947,44.5731,77084657.185,1027233300.0,14.2857,92.8571
2008-10-14,181.9166,394.5,357.0,15554000.0,318.8739,394.928,470.9821,387.5136,43.193,64.6602,40.7438,66267368.6517,1011679300.0,7.1429,85.7143
2008-10-15,170.1101,359.0,338.83,13429300.0,311.9613,391.162,470.3627,382.9095,58.7776,65.078,36.4127,53290816.495,998250000.0,0.0,78.5714
2008-10-16,177.0566,356.5,309.44,32446900.0,309.2032,386.859,464.5148,380.0628,59.6646,49.2555,40.4253,80938939.9544,1030696900.0,0.0,100.0
2008-10-17,186.8468,386.0,363.55,28469900.0,310.6634,383.0285,455.3936,379.3464,55.8561,53.2349,45.6326,75270322.8943,1059166800.0,7.1429,92.8571
2008-10-20,190.2473,380.98,359.59,13493200.0,311.4243,380.4875,449.5507,379.3439,57.2269,69.1904,47.3539,86669206.6718,1072660000.0,0.0,85.7143
2008-10-21,181.9366,383.78,362.0,11552400.0,311.4922,377.1615,442.8308,377.7635,65.916,75.3228,43.7115,75912426.5065,1061107600.0,0.0,78.5714
2008-10-22,178.3857,369.69,344.0,13106800.0,312.608,373.1895,433.771,375.6594,71.7454,70.7231,42.2173,74713478.2776,1048000800.0,7.1429,71.4286
2008-10-23,176.7055,358.0,337.99,12944800.0,315.9201,368.8255,421.7309,373.4366,66.4446,53.2879,41.4945,80309306.3635,1035056000.0,0.0,64.2857
2008-10-24,170.1703,350.47,324.74,14703200.0,318.2473,364.238,410.2287,370.1845,54.101,38.2921,38.7179,82235065.5552,1020352800.0,42.8571,57.1429
2008-10-27,165.2551,343.0,325.6,12388900.0,313.9771,361.6625,409.3479,366.3088,37.4753,20.8459,36.7273,75385570.2678,1007963900.0,35.7143,50.0
2008-10-28,184.9459,369.31,328.51,16194500.0,315.6682,360.074,404.4798,366.5413,34.2236,43.5328,48.2139,91135515.3658,1024158400.0,28.5714,42.8571
2008-10-29,179.5543,371.0,352.37,19493600.0,319.8325,357.388,394.9435,365.7279,41.2209,59.284,45.764,83423876.5038,1004664800.0,21.4286,35.7143
2008-10-30,180.4019,372.0,358.37,15961800.0,321.4556,355.848,390.2404,365.1528,61.3567,81.2531,46.2266,70553723.7525,1020626600.0,14.2857,28.5714
2008-10-31,180.2364,371.9599,354.27,14831700.0,323.0899,354.4705,385.8511,364.6011,71.1356,72.8697,46.1438,64257216.4896,1005794900.0,7.1429,21.4286
2008-11-03,173.7814,362.99,341.43,11897000.0,322.6513,353.2345,383.8177,362.8763,72.2692,62.6847,42.9167,57944522.612,993897900.0,0.0,14.2857
2008-11-04,184.0381,372.36,345.5,14685100.0,323.3282,354.281,385.2338,363.2633,67.0268,65.526,49.018,66703096.7744,1008583000.0,14.2857,7.1429
2008-11-05,171.6499,368.88,341.31,13879100.0,323.9162,354.4875,385.0588,361.2611,56.8274,42.2715,43.0349,53760345.1966,994703900.0,7.1429,0.0
2008-11-06,166.1228,344.42,325.81,17132400.0,324.3885,354.5995,384.8105,358.4,46.7207,32.3645,40.6509,46588856.9644,977571500.0,0.0,35.7143
2008-11-07,166.0827,341.15,325.331,9353200.0,324.2148,354.5565,384.8982,355.8038,27.8752,8.9897,40.6333,44104958.2856,968218300.0,7.1429,28.5714
2008-11-10,159.8835,329.444,309.47,16144000.0,319.8564,351.4445,383.0326,352.2777,18.0934,12.9258,37.9032,43010586.8027,952074300.0,0.0,100.0
2008-11-11,156.2122,316.3,300.521,20272900.0,313.3023,348.882,384.4617,348.3903,12.1005,14.386,36.3457,50846597.773,931801400.0,64.2857,100.0
2008-11-12,145.9505,312.4899,287.76,20082000.0,302.9544,346.4735,389.9926,342.9246,13.1622,12.1747,32.345,36026703.9683,911719400.0,57.1429,100.0
2008-11-13,156.5232,313.0,280.0,26442900.0,298.5445,344.4265,390.3085,339.987,17.096,24.7273,39.7086,60995211.9683,938162300.0,50.0,100.0
2008-11-14,155.49,324.99,302.56,19015100.0,294.9889,341.3005,387.6121,337.133,25.5112,39.6315,39.2589,54628586.868,919147200.0,42.8571,92.8571
2008-11-17,150.5247,310.16,297.95,15072500.0,291.1658,337.3405,383.5152,333.608,38.9971,52.6325,37.0853,44913552.0605,904074700.0,35.7143,85.7143
2008-11-18,149.1705,303.73,285.35,16675500.0,286.3349,334.074,381.8131,330.1615,46.772,48.052,36.4919,50139388.8396,887399200.0,28.5714,78.5714
2008-11-19,140.5238,300.19,278.58,15653500.0,278.245,330.2995,382.354,325.4014,43.2157,28.9628,32.8747,36803852.7452,871745700.0,21.4286,100.0
2008-11-20,130.1819,282.94,259.04,19539200.0,266.2691,325.6615,385.0539,319.1307,30.4444,14.3186,29.1526,18114894.0841,852206500.0,14.2857,100.0
2008-11-21,131.6213,269.37,247.3,20468500.0,256.7732,321.8185,386.8638,313.7307,17.5722,9.4351,30.3349,25710590.278,872675000.0,7.1429,100.0
2008-11-24,129.1186,269.95,249.01,20089200.0,247.5328,318.216,388.8992,308.3697,12.6765,14.2757,29.4158,21796362.1978,852585800.0,0.0,92.8571
2008-11-25,141.4617,286.66,267.32,21520800.0,245.5304,313.881,382.2316,305.863,19.8748,35.9136,39.2002,33057504.7004,874106600.0,0.0,85.7143
2008-11-26,146.4972,295.46,276.2,12700400.0,244.7521,310.5855,376.4189,304.5513,36.3602,58.8914,42.6904,41313424.1189,886807000.0,0.0,78.5714
2008-11-28,146.9336,296.45,288.2801,5125800.0,245.0445,307.249,369.4535,303.4474,59.5577,83.8681,42.9958,42059968.0692,891932800.0,0.0,71.4286
2008-12-01,133.4068,287.3799,265.983,11410900.0,242.751,302.5805,362.41,299.88,72.2192,73.8981,36.5024,30656534.2255,880521900.0,0.0,64.2857
2008-12-02,137.9809,277.78,262.5801,11667700.0,241.6187,299.0115,356.4043,297.521,70.9983,55.2287,39.8126,38225160.0211,892189600.0,21.4286,57.1429
2008-12-03,140.1476,281.36,265.34,11797700.0,245.9412,294.636,343.3308,295.798,56.6573,40.8452,41.3717,47180218.1984,903987300.0,14.2857,50.0
2008-12-04,137.5947,283.49,268.77,9763400.0,247.0343,291.241,335.4477,293.7544,45.5206,40.488,40.0551,44805695.644,894223900.0,7.1429,42.8571
2008-12-05,142.4347,284.24,264.02,13029300.0,248.5958,288.8795,329.1632,292.8244,46.0889,56.9335,43.7123,57512807.2167,907253200.0,0.0,35.7143
2008-12-08,151.5227,309.44,282.0,16272300.0,251.4812,287.428,323.3748,293.7088,55.2971,68.4698,49.894,65091524.1992,923525500.0,0.0,28.5714
2008-12-09,153.4587,318.0,297.01,13766000.0,252.6891,286.7875,320.8859,294.8765,69.4014,82.8008,51.1254,63078107.3341,937291500.0,100.0,21.4286
2008-12-10,154.8881,314.9,304.51,10463500.0,252.9217,286.6555,320.3893,296.2045,77.653,81.6884,52.0621,61295586.1598,947755000.0,92.8571,14.2857
2008-12-11,150.5748,312.88,297.8,12346000.0,252.9091,287.1165,321.3239,296.5869,80.1375,75.9232,49.0096,52912095.4437,935409000.0,85.7143,7.1429
2008-12-12,158.3689,316.47,294.0,11432700.0,252.5231,287.3005,322.0779,298.4129,79.6298,81.2778,54.2316,63622301.7187,946841700.0,78.5714,0.0
2008-12-15,155.816,318.49,305.11,13462300.0,252.4697,287.333,322.1963,299.5803,77.8346,76.3028,52.3408,61348400.5229,933379400.0,100.0,0.0
2008-12-16,163.1436,329.5,311.27,14105000.0,250.3233,288.591,326.8587,302.0278,80.3001,83.3197,56.9774,68923164.648,947484400.0,100.0,28.5714
2008-12-17,158.1081,322.13,312.42,11567800.0,249.6362,289.482,329.3278,303.2861,77.2088,72.0041,53.1507,64074457.5419,935916600.0,92.8571,21.4286
2008-12-18,155.6204,320.35,309.11,9517400.0,250.3935,290.987,331.5805,303.9522,73.3082,64.6009,51.317,56538437.9689,926399200.0,85.7143,14.2857
2008-12-19,155.5652,317.79,309.0,11213900.0,254.8098,293.5175,332.2252,304.5444,59.5835,42.1454,51.2747,48309808.2761,915185300.0,78.5714,7.1429
2008-12-22,149.015,309.5,290.63,7827300.0,259.2578,295.2515,331.2452,303.8364,44.8351,27.7588,46.3913,45858332.7594,907358000.0,71.4286,0.0
2008-12-23,149.4714,303.31,296.67,7547800.0,265.7421,297.2805,328.8189,303.2824,30.0656,20.2925,46.7717,41379668.3016,914905800.0,64.2857,14.2857
2008-12-24,151.944,306.34,298.38,3839100.0,267.4979,298.3255,329.1531,303.2508,25.0821,27.1949,48.8878,41948781.1156,918744900.0,57.1429,7.1429
2008-12-26,150.645,305.26,298.31,3914200.0,268.0354,298.739,329.4426,302.9755,27.0223,33.5795,47.8124,40343677.5185,914830700.0,50.0,0.0
2008-12-29,149.1705,301.38,291.58,7396300.0,268.365,298.962,329.559,302.4464,32.8428,37.7538,46.5604,41762559.5593,907434400.0,42.8571,0.0
2008-12-30,152.0243,306.81,298.71,7679300.0,274.202,300.818,327.434,302.5096,40.1682,49.1712,49.3261,42426202.7692,915113700.0,35.7143,64.2857
2008-12-31,154.3013,311.0,302.6101,5767800.0,278.4663,302.445,326.4237,302.9991,50.5793,64.8129,51.4836,43587957.4051,920881500.0,28.5714,57.1429
2009-01-02,161.1575,321.8199,305.5,7213700.0,281.6759,304.5395,327.4031,304.744,66.5283,85.6008,57.3692,50359727.169,928095200.0,21.4286,50.0
2009-01-05,164.5329,331.24,315.0,9768200.0,286.6813,307.225,327.7687,306.9636,80.4772,91.0178,59.9455,56290420.0262,937863400.0,100.0,42.8571
2009-01-06,167.5472,340.799,326.39,12837500.0,288.9193,309.7285,330.5377,309.5442,89.3498,91.4307,62.1455,57119881.6474,950700900.0,100.0,35.7143
2009-01-07,161.5035,330.9099,318.75,8980000.0,289.5664,310.7235,331.8806,310.7314,86.0101,75.5817,55.5567,52954855.4547,941720900.0,92.8571,28.5714
2009-01-08,163.0985,325.19,317.34,7194100.0,289.7468,311.6845,333.6222,312.1084,76.8452,63.523,56.8567,60148955.4547,948915000.0,85.7143,21.4286
2009-01-09,158.0228,327.5,313.4,8672300.0,290.0533,311.997,333.9407,312.3905,58.8878,37.5585,51.6763,53530944.9583,940242700.0,78.5714,14.2857
2009-01-12,156.8291,318.95,310.23,6601900.0,291.3525,312.6205,333.8885,312.419,41.4631,23.3077,50.5107,50653970.1877,933640800.0,71.4286,7.1429
2009-01-13,157.6466,320.6,310.39,8856100.0,291.3138,312.5485,333.7832,312.6001,24.0576,11.3067,51.3205,48615592.6166,942496900.0,64.2857,0.0
2009-01-14,150.951,313.8,297.75,10924800.0,290.2443,312.0635,333.8827,311.4924,15.8324,12.8829,44.8476,42074326.0746,931572100.0,57.1429,21.4286
2009-01-15,149.9579,303.58,286.79,11857100.0,289.1061,310.749,332.3919,310.3017,14.7931,20.1898,43.962,47448508.9811,919715000.0,50.0,100.0
2009-01-16,150.299,308.25,295.7,10438300.0,287.9136,309.9705,332.0274,309.2892,19.7894,26.2956,44.3683,43614201.1723,930153300.0,42.8571,92.8571
2009-01-20,141.8128,299.5,282.75,10086300.0,283.5521,308.594,333.6359,306.7616,23.0577,22.6878,37.1503,33527901.1723,920067000.0,35.7143,100.0
2009-01-21,152.0092,303.5,288.35,9839100.0,283.0963,308.2395,333.3827,306.411,27.8356,34.5234,48.0799,42821466.9149,929906100.0,28.5714,92.8571
2009-01-22,153.7245,309.35,295.15,16517400.0,284.069,308.709,333.349,306.4195,36.266,51.5869,49.6656,52708642.9712,946423500.0,21.4286,85.7143
2009-01-23,162.8527,331.96,304.22,21444100.0,284.977,310.043,335.109,308.1605,55.371,80.0026,57.1637,62928217.6648,967867600.0,14.2857,78.5714
2009-01-26,162.4364,328.0,320.56,9212100.0,285.5527,311.089,336.6253,309.6566,72.5401,86.031,56.7485,61912905.568,958655500.0,7.1429,71.4286
2009-01-27,166.2532,333.87,324.27,9844700.0,286.1393,312.645,339.1507,311.735,84.6286,87.8522,59.6426,66855765.3597,968500200.0,0.0,64.2857
2009-01-28,174.8748,352.33,336.31,15367400.0,285.3832,315.2075,345.0318,315.2527,88.1732,90.6363,65.2923,75201357.12,983867600.0,100.0,57.1429
2009-01-29,172.1915,345.05,340.11,14553000.0,285.5619,317.218,348.8741,317.9257,89.4541,89.8736,62.3661,79561365.2172,969314600.0,92.8571,50.0
2009-01-30,169.7891,348.8,336.001,9334600.0,286.126,318.762,351.398,319.888,85.8849,77.1447,59.7827,73915678.9448,959980000.0,85.7143,42.8571
2009-02-02,170.8123,345.0,332.0,10403300.0,285.7361,319.7245,353.7129,321.8578,77.4422,65.3082,60.5325,77228729.8679,970383300.0,78.5714,35.7143
2009-02-03,170.7521,343.0,333.8285,13099800.0,285.3342,320.3445,355.3548,323.6284,64.8417,52.0723,60.4611,83044118.3758,957283500.0,71.4286,28.5714
2009-02-04,172.031,354.44,339.17,13621100.0,284.8756,320.7915,356.7074,325.4734,55.6461,49.5579,61.5004,76255868.8014,970904600.0,100.0,21.4286
2009-02-05,177.4076,355.38,337.0,14514200.0,283.6929,322.377,361.0611,328.1635,54.2638,61.1612,65.595,88148352.5882,985418800.0,100.0,14.2857
2009-02-06,186.2148,373.81,355.44,14062100.0,280.5008,324.6815,368.8622,332.2698,63.114,78.6228,71.0301,98337059.7738,999480900.0,100.0,7.1429
2009-02-09,189.9714,381.0,367.3,9944600.0,278.0871,327.8665,377.6459,336.6984,77.9415,94.0404,72.9901,105044220.6497,1009425500.0,100.0,0.0
2009-02-10,179.8101,377.5,357.89,14193100.0,279.1797,330.1575,381.1353,338.7757,84.0108,79.3692,60.9733,91748593.5717,995232400.0,92.8571,0.0
2009-02-11,179.5743,365.0,353.0,10452700.0,280.5271,332.3435,384.1599,340.6104,79.134,63.9924,60.7235,90076161.5717,984779700.0,85.7143,0.0
2009-02-12,182.0871,363.62,351.48,11089400.0,284.0848,335.4475,386.8102,342.7475,62.887,45.2994,62.4875,100124217.5849,995869100.0,78.5714,0.0
2009-02-13,179.3938,362.99,355.23,8285100.0,289.019,338.382,387.745,344.1697,48.4322,36.0049,59.4077,97070688.4611,987584000.0,71.4286,0.0
2009-02-17,171.8605,347.09,339.69,11349400.0,294.4646,340.5315,386.5984,344.0259,34.6627,22.6838,51.7282,94831482.5152,976234600.0,64.2857,0.0
2009-02-18,177.1017,353.38,340.52,12036900.0,306.1476,344.0495,381.9514,344.891,28.6607,27.2934,55.9907,106362945.0346,988271500.0,57.1429,21.4286
2009-02-19,171.8505,359.8,341.41,9967400.0,313.079,346.0275,378.976,344.6767,24.793,24.4017,51.1202,97728867.71,978304100.0,50.0,14.2857
2009-02-20,173.7614,348.92,335.0,12421700.0,320.5078,348.025,375.5422,344.8455,29.0381,35.4192,52.7315,105742291.9916,990725800.0,42.8571,7.1429
2009-02-23,165.541,349.8,329.55,10431700.0,321.5976,348.293,374.9884,343.4374,26.0427,18.307,45.7452,95836040.5842,980294100.0,35.7143,100.0
2009-02-24,173.2598,349.62,330.89,12179600.0,325.0757,349.372,373.6683,343.6291,28.4816,31.7185,52.1552,102592369.6819,992473700.0,28.5714,92.8571
2009-02-25,171.3489,352.3,338.92,12865300.0,326.7022,349.88,373.0578,343.4396,27.1435,31.405,50.5626,94957804.51,979608400.0,21.4286,85.7143
2009-02-26,169.112,352.49,337.16,11199900.0,325.4758,349.3055,373.1352,342.8435,35.0178,41.9299,48.6882,83787127.9934,968408500.0,14.2857,78.5714
2009-02-27,169.5183,343.82,331.11,10829100.0,324.8313,349.039,373.2467,342.3812,36.6693,36.6731,49.0576,84681742.8636,979237600.0,7.1429,71.4286
2009-03-02,164.0865,340.6999,326.0,11565400.0,322.8118,348.4705,374.1292,340.9316,34.4711,24.8104,44.4506,74941642.8996,967672200.0,0.0,100.0
2009-03-03,163.2439,333.69,322.35,13036500.0,320.3423,347.716,375.0897,339.46,26.2229,17.1852,43.764,69101658.7726,954635700.0,0.0,100.0
2009-03-04,159.9538,329.0,315.38,15621100.0,316.64,346.6395,376.639,337.5038,16.6989,8.101,41.0948,61600778.1559,939014600.0,0.0,100.0
2009-03-05,153.2932,319.08,302.64,13046700.0,309.8494,344.7715,379.6936,334.4692,11.452,9.0697,36.2718,53315647.499,925967900.0,0.0,100.0
2009-03-06,154.7627,310.19,294.249,14453900.0,304.4974,342.514,380.5306,332.0026,11.0186,15.8849,38.0007,64831799.8043,940421800.0,0.0,100.0
2009-03-09,145.8954,306.57,289.45,12929600.0,296.6836,338.4945,380.3054,328.0871,12.9149,13.7902,32.3055,54077272.7015,927492200.0,14.2857,100.0
2009-03-10,154.5621,310.5,294.25,13446900.0,295.4956,334.9645,374.4334,326.1902,18.9381,27.1393,41.5292,63668015.5323,940939100.0,7.1429,92.8571
2009-03-11,159.4472,320.0,305.71,11835300.0,294.352,332.9345,371.517,325.4016,29.615,47.9154,45.9958,72041345.3434,952774400.0,0.0,85.7143
2009-03-12,162.2659,325.0,313.65,10038100.0,294.2181,331.209,368.1999,325.2234,51.28,78.7854,48.4431,79479267.8984,962812500.0,28.5714,78.5714
2009-03-13,162.7123,327.46,319.0301,7804900.0,295.2209,329.2775,363.3341,325.1469,73.4587,93.6753,48.8385,81654944.3015,970617400.0,21.4286,71.4286
2009-03-16,160.34,329.73,318.59,9883700.0,295.7163,327.378,359.0397,324.6272,86.3279,86.5232,46.7849,73723141.9675,960733700.0,14.2857,64.2857
2009-03-17,168.1892,335.34,319.09,9415500.0,295.9009,327.012,358.1231,325.6474,89.3666,87.9015,53.7191,83138641.9675,970149200.0,7.1429,57.1429
2009-03-18,167.0657,340.0,328.0537,10014300.0,297.1136,326.0115,354.9094,326.3572,85.4211,81.8388,52.6614,81584729.2155,960134900.0,0.0,50.0
2009-03-19,165.4808,336.0,327.38,8214100.0,297.4255,325.3765,353.3275,326.6984,81.7831,75.6089,51.1318,78249537.8001,951920800.0,0.0,42.8571
2009-03-20,165.5912,332.99,326.34,9466300.0,298.2112,324.562,350.9128,327.0281,72.5789,60.2889,51.238,79658806.522,961387100.0,0.0,35.7143
2009-03-23,174.8402,349.45,333.03,8534400.0,297.1967,325.4891,353.7814,329.0827,67.9944,68.0854,59.2342,87310660.1639,969921500.0,100.0,28.5714
2009-03-24,174.1977,353.84,344.0,7632300.0,297.0159,325.5826,354.1492,330.8196,68.0731,75.8449,58.5164,84828611.3834,962289200.0,100.0,21.4286
2009-03-25,172.5677,351.34,336.25,8663900.0,296.8461,325.704,354.562,332.0815,74.4176,79.3224,56.6409,85144393.0268,953625300.0,92.8571,14.2857
2009-03-26,177.192,359.16,348.5,11994500.0,295.5896,326.5095,357.4295,334.1014,76.4867,74.2927,60.5079,83929190.4002,965619800.0,100.0,7.1429
2009-03-27,174.3883,351.9961,345.47,6638900.0,295.0804,326.995,358.9097,335.3965,73.7306,67.5766,57.1783,81827379.0136,958980900.0,92.8571,0.0
2009-03-30,171.8756,343.81,336.055,6182000.0,295.1311,327.7715,360.412,336.0911,65.8424,55.6579,54.2947,86223733.6235,952798900.0,85.7143,0.0
2009-03-31,174.5689,353.51,346.176,7303200.0,295.1134,328.9005,362.6877,337.231,56.2801,45.6058,56.809,82672709.4621,960102100.0,78.5714,0.0
